method_short,method,scenario_id,n_windows,mrr,top1,top3,top5,source_json,defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,observability_tier,min_monitor_hop,nearest_monitors,is_hard_candidate
Degree,degree,271,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,271,E,HS1308302,HS1308301.1,50,6,6,-11.7904,0.0,0.0,0.0,23.5807,near,1,HS1308324;HS1308301,False
Degree,degree,349,18,0.5009259259259259,0.2777777777777778,0.5555555555555556,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,349,E,HS1316563,HS1316467.1,40,12,18,-6.8028,0.0,0.0,0.0,17.007,direct,0,HS1316563,False
Degree,degree,103,24,0.9791666666666666,0.9583333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,103,I,HS1316202,,50,20,24,37.9266,0.0,0.0,0.0,75.8532,near,2,HS1316267,False
Cand-Obs,candidate_observability,50,5,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,50,I,HS1314505,,50,2,6,12.5795,0.0,0.0,0.0,25.1591,near,2,HS2003013,False
Cand-Obs,candidate_observability,81,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,81,I,HS1313471,,60,14,12,3.044,0.0,0.0,0.0,5.0733,near,1,HS1313487,False
Cand-Obs,candidate_observability,206,6,0.6388888888888888,0.3333333333333333,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,206,I,MH0242782,,60,14,6,5.3314,0.0,0.0,0.0,8.8856,far,4,HS1316563,True
Cand-Obs,candidate_observability,35,24,0.9791666666666666,0.9583333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,35,I,HS1311288,,40,14,24,0.1439,0.0,0.0,0.0,0.3597,near,2,HS1313001,False
Cand-Obs,candidate_observability,264,21,0.8849206349206349,0.8095238095238095,0.9523809523809523,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,264,E,HS1306904,HS1313402.2,60,0,24,-38.4051,0.0,0.0,0.0,64.0085,direct,0,HS1306904,False
Cand-Obs,candidate_observability,92,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,92,I,HS1314237,,50,20,12,13.6559,0.0,0.0,0.0,27.3118,far,7,HS1306601,True
Cand-Obs,candidate_observability,340,18,0.8240740740740741,0.7222222222222222,0.8888888888888888,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,340,E,HS1314505,HS1314769.1,50,12,18,3.7797,0.0,0.0,0.0,-7.5595,near,2,HS2003013,False
